id,name,country,lon,lat
GB.BX,Barnsley,England,-1.53356,53.52624
GB.BN,Bath and North East Somerset,England,-2.469959,51.35527
GB.CB,Bedfordshire,England,-0.4891571,52.19593
GB.BI,Birmingham,England,-1.864207,52.4845
GB.BW,Blackburn with Darwen,England,-2.469855,53.69514
GB.BP,Blackpool,England,-3.031353,53.82126
GB.BT,Bolton,England,-2.477029,53.57859
GB.BM,Bournemouth,England,-1.865144,50.74716
GB.BC,Bracknell Forest,England,-0.7412733,51.40884
GB.BV,Bradford,England,-1.84826,53.84386
GB.BH,Brighton and Hove,England,-0.1379661,50.84495
GB.BS,Bristol,England,-2.594693,51.46956
GB.BU,Buckinghamshire,England,-0.8089871,51.78436
GB.BR,Bury,England,-2.32136,53.59077
GB.CX,Calderdale,England,-1.969037,53.71886
GB.CM,Cambridgeshire,England,0.1764446,52.46377
GB.CB,Central Bedfordshire,England,-0.4316355,52.01615
GB.CQ,Cheshire East,England,-2.365561,53.17511
GB.CZ,Cheshire West and Chester,England,-2.732176,53.21242
GB.CO,Cornwall,England,-4.826014,50.40523
GB.CT,Coventry,England,-1.520599,52.42217
GB.CU,Cumbria,England,-2.901008,54.59475
GB.DA,Darlington,England,-1.562108,54.54577
GB.DE,Derby,England,-1.476452,52.91441
GB.DB,Derbyshire,England,-1.621617,53.14744
GB.DO,Devon,England,-3.807224,50.76185
GB.DC,Doncaster,England,-1.09706,53.54759
GB.DS,Dorset,England,-2.323801,50.80691
GB.DY,Dudley,England,-2.101436,52.47171
GB.DH,Durham,England,-1.840066,54.69278
GB.EY,East Riding of Yorkshire,England,-0.5019078,53.86175
GB.ES,East Sussex,England,0.2740775,50.94157
GB.EX,Essex,England,0.5680213,51.80604
GB.GH,Gateshead,England,-1.675249,54.92938
GB.GC,Gloucestershire,England,-2.114723,51.82316
GB.GL,Greater London,England,-0.1026531,51.49735
GB.HL,Halton,England,-2.718285,53.34663
GB.HA,Hampshire,England,-1.288961,51.06731
GB.HP,Hartlepool,England,-1.270096,54.66971
GB.HE,Herefordshire,England,-2.734938,52.10254
GB.HT,Hertfordshire,England,-0.2148956,51.82576
GB.IW,Isle of Wight,England,-1.298565,50.67495
GB.IS,Isles of Scilly,England,-6.318549,49.93583
GB.KE,Kent,England,0.7367833,51.21885
GB.KH,Kingston upon Hull,England,-0.3320438,53.76523
GB.KK,Kirklees,England,-1.759477,53.62625
GB.KN,Knowsley,England,-2.838334,53.42806
GB.LA,Lancashire,England,-2.612291,53.85174
GB.LS,Leeds,England,-1.498795,53.82521
GB.LC,Leicester,England,-1.140212,52.63702
GB.LE,Leicestershire,England,-1.10451,52.67232
GB.LI,Lincolnshire,England,-0.2482017,53.12503
GB.LU,Luton,England,-0.4248223,51.89695
GB.MN,Manchester,England,-2.242028,53.45649
GB.MW,Medway,England,0.5556638,51.41371
GB.MB,Middlesbrough,England,-1.238911,54.54403
GB.MK,Milton Keynes,England,-0.7315588,52.08029
GB.NU,Newcastle upon Tyne,England,-1.648624,55.00088
GB.NF,Norfolk,England,1.131994,52.64849
GB.NL,North Lincolnshire,England,-0.5869387,53.58236
GB.NS,North Somerset,England,-2.790231,51.39021
GB.NI,North Tyneside,England,-1.511999,55.02246
GB.NY,North Yorkshire,England,-1.419606,54.18871
GB.NA,Northamptonshire,England,-0.8625295,52.30723
GB.NB,Northumberland,England,-2.064126,55.23681
GB.NG,Nottingham,England,-1.186209,52.95999
GB.NT,Nottinghamshire,England,-1.012968,53.13337
GB.OL,Oldham,England,-2.050176,53.55638
GB.OX,Oxfordshire,England,-1.314978,51.76263
GB.PB,Peterborough,England,-0.2614566,52.60664
GB.PM,Plymouth,England,-4.124696,50.39522
GB.PL,Poole,England,-1.96551,50.7418
GB.PS,Portsmouth,England,-1.035134,50.81497
GB.RG,Reading,England,-1.02712,51.45048
GB.RC,Redcar and Cleveland,England,-1.024739,54.55009
GB.RD,Rochdale,England,-2.162193,53.61534
GB.RH,Rotherham,England,-1.273468,53.40361
GB.RL,Rutland,England,-0.6415161,52.65634
GB.SZ,Saint Helens,England,-2.731275,53.46448
GB.ZF,Salford,England,-2.388783,53.48609
GB.ZW,Sandwell,England,-2.012324,52.51049
GB.SE,Sefton,England,-2.967644,53.47943
GB.SV,Sheffield,England,-1.549398,53.4011
GB.SP,Shropshire,England,-2.732143,52.63712
GB.ZL,Slough,England,-0.5859543,51.49865
GB.SI,Solihull,England,-1.72254,52.411
GB.SM,Somerset,England,-2.9295,51.09974
GB.SJ,South Gloucestershire,England,-2.452254,51.54262
GB.SX,South Tyneside,England,-1.43597,54.95848
GB.ZH,Southampton,England,-1.403109,50.91902
GB.SS,Southend-on-Sea,England,0.6970163,51.54687
GB.ST,Staffordshire,England,-2.029955,52.85206
GB.SK,Stockport,England,-2.127687,53.39974
GB.ZT,Stockton-on-Tees,England,-1.339016,54.55808
GB.SO,Stoke-on-Trent,England,-2.165942,53.01911
GB.SF,Suffolk,England,1.055871,52.21318
GB.SD,Sunderland,England,-1.446729,54.87475
GB.SR,Surrey,England,-0.4158975,51.24349
GB.SN,Swindon,England,-1.733885,51.56839
GB.TM,Tameside,England,-2.07841,53.48126
GB.TK,Telford and Wrekin,England,-2.489465,52.72719
GB.TR,Thurrock,England,0.369682,51.50261
GB.TB,Torbay,England,-3.548115,50.44281
GB.TD,Trafford,England,-2.350934,53.41179
GB.WK,Wakefield,England,-1.410666,53.65783
GB.WZ,Walsall,England,-1.969508,52.59281
GB.WT,Warrington,England,-2.567609,53.40539
GB.WR,Warwickshire,England,-1.557512,52.30747
GB.WB,West Berkshire,England,-1.321863,51.44883
GB.WS,West Sussex,England,-0.4909931,50.95408
GB.WN,Wigan,England,-2.602063,53.52999
GB.WL,Wiltshire,England,-1.940075,51.29841
GB.WA,Windsor and Maidenhead,England,-0.703358,51.48159
GB.WQ,Wirral,England,-3.071978,53.36532
GB.WO,Wokingham,England,-0.8972023,51.42498
GB.WV,Wolverhampton,England,-2.125323,52.58751
GB.WC,Worcestershire,England,-2.160511,52.21814
GB.YK,York,England,-1.061083,53.96026
GB.AT,Antrim and Newtownabbey,Northern Ireland,-6.203179,54.70189
GB.AC,"Armagh, Banbridge and Craigavon",Northern Ireland,-6.45095,54.37073
GB.BF,Belfast,Northern Ireland,-5.954182,54.6099
GB.CJ,Causeway Coast and Glens,Northern Ireland,-6.592782,55.05861
GB.DR,Derry and Strabane,Northern Ireland,-7.361323,54.81727
GB.FH,Fermanagh and Omagh,Northern Ireland,-7.496098,54.44334
GB.LH,Lisburn and Castlereagh,Northern Ireland,-6.040709,54.51235
GB.MA,Mid and East Antrim,Northern Ireland,-6.106391,54.87254
GB.MU,Mid Ulster,Northern Ireland,-6.786337,54.61924
GB.MD,"Newry, Mourne and Down",Northern Ireland,-6.065572,54.24216
GB.DD,North Down and Ards,Northern Ireland,-5.623364,54.54913
GB.AR,Aberdeen,Scotland,-2.193374,57.16267
GB.AS,Aberdeenshire,Scotland,-2.627426,57.24338
GB.AG,Angus,Scotland,-2.91775,56.72981
GB.AB,Argyll and Bute,Scotland,-5.504547,56.13772
GB.CC,Clackmannanshire,Scotland,-3.740455,56.146
GB.DG,Dumfries and Galloway,Scotland,-3.960914,55.07568
GB.DU,Dundee,Scotland,-2.951932,56.48565
GB.EA,East Ayrshire,Scotland,-4.313129,55.48258
GB.ED,East Dunbartonshire,Scotland,-4.225192,55.95193
GB.EL,East Lothian,Scotland,-2.718759,55.94037
GB.ER,East Renfrewshire,Scotland,-4.361081,55.7495
GB.EB,Edinburgh,Scotland,-3.287851,55.92471
GB.WI,Eilean Siar,Scotland,-6.86073,57.91593
GB.FK,Falkirk,Scotland,-3.795211,55.99357
GB.FI,Fife,Scotland,-3.121261,56.22934
GB.GG,Glasgow,Scotland,-4.255026,55.85455
GB.HI,Highland,Scotland,-4.760263,57.58461
GB.IC,Inverclyde,Scotland,-4.748102,55.90143
GB.ML,Midlothian,Scotland,-3.1086,55.83159
GB.MO,Moray,Scotland,-3.270658,57.46918
GB.NR,North Ayrshire,Scotland,-4.994132,55.67136
GB.NN,North Lanarkshire,Scotland,-3.94375,55.87111
GB.OR,Orkney Islands,Scotland,-3.035904,59.02809
GB.PK,Perthshire and Kinross,Scotland,-3.821171,56.56297
GB.RF,Renfrewshire,Scotland,-4.546583,55.84391
GB.BO,Scottish Borders,Scotland,-2.784613,55.5759
GB.SH,Shetland Islands,Scotland,-1.255199,60.37932
GB.SA,South Ayrshire,Scotland,-4.686603,55.26831
GB.SL,South Lanarkshire,Scotland,-3.808588,55.61167
GB.ZG,Stirling,Scotland,-4.358757,56.2367
GB.WD,West Dunbartonshire,Scotland,-4.516555,55.98464
GB.WH,West Lothian,Scotland,-3.56834,55.88298
GB.AY,Anglesey,Wales,-4.361188,53.28767
GB.BG,Blaenau Gwent,Wales,-3.202061,51.75889
GB.BJ,Bridgend,Wales,-3.60143,51.56506
GB.CP,Caerphilly,Wales,-3.214522,51.65011
GB.CA,Cardiff,Wales,-3.204686,51.51123
GB.CI,Carmarthenshire,Wales,-4.155687,51.8992
GB.CG,Ceredigion,Wales,-4.074425,52.24894
GB.CW,Conwy,Wales,-3.755907,53.1397
GB.DI,Denbighshire,Wales,-3.368398,53.09453
GB.FL,Flintshire,Wales,-3.169334,53.21302
GB.GD,Gwynedd,Wales,-4.037399,52.89803
GB.MT,Merthyr Tydfil,Wales,-3.374493,51.73873
GB.MM,Monmouthshire,Wales,-2.865357,51.76561
GB.NP,Neath Port Talbot,Wales,-3.742105,51.67993
GB.NO,Newport,Wales,-2.966436,51.58044
GB.PE,Pembrokeshire,Wales,-4.890841,51.854
GB.PO,Powys,Wales,-3.403694,52.32939
GB.RT,"Rhondda, Cynon, Taff",Wales,-3.438292,51.64507
GB.SW,Swansea,Wales,-4.04879,51.64074
GB.TF,Torfaen,Wales,-3.061105,51.69999
GB.VG,Vale of Glamorgan,Wales,-3.400194,51.44435
GB.WX,Wrexham,Wales,-3.032621,52.99262
